data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
8591633,840,USA35391,35391,"07 October 2021",2021,1,Protests,"Peaceful protest","Protesters (United States)","Greenpeace; We are CASA; Latinx Group (United States)",6,,,0,60,"North America","United States","District of Columbia","District of Columbia",,"Washington DC",38.9171,-77.0003,1,"New York Post; WTRF7",National,"On 7 October 2021, a group of people, including members of Greenpeace USA, Young West Virginia, Race Matters WV, CASA, and the Center for Popular Democracy Action gathered in kayaks outside Senator Joe Manchin's houseboat in a marina in Washington DC (District of Columbia) to demand that Senator Manchin support investments in healthcare, climate action, and jobs by helping to pass the Build Back Better Act. [size=no report]",0,1634073005,USA
8582895,840,USA35072,35072,"27 September 2021",2021,1,Protests,"Peaceful protest","Protesters (United States)","We are CASA; Latinx Group (United States); Greenpeace",6,,,0,60,"North America","United States","District of Columbia","District of Columbia",,"Washington DC",38.9171,-77.0003,1,Hill,Subnational,"On 27 September 2021, a group of people gathered outside US Senator Joe Manchin's houseboat in Washington DC (District of Columbia) to demonstrate against Senator Manchin's opposition to a spending bill which would include funds for health care, infrastructure, and climate measures. Participating groups included Young West Virginia, Race Matters WV, the Center for Popular Democracy Action, CASA, and Greenpeace USA. [size=no report]",0,1633466344,USA
8479224,840,USA33119,33119,"30 August 2021",2021,1,Protests,"Peaceful protest","Protesters (United States)",,6,,,0,60,"North America","United States","District of Columbia","District of Columbia",,"Washington DC",38.9171,-77.0003,1,Twitter,"New media","On 30 August 2021, a group of people marched to the offices of various fossil fuel lobbying firms in Washington DC (District of Columbia) to demonstrate against the fossil fuel industry's influence on climate change legislation. [size=no report]",0,1631060776,USA
8569651,840,USA32878,32878,"29 July 2021",2021,1,Protests,"Peaceful protest","Protesters (United States)","Native American Group (United States); Piscataway Tribal Group (United States); Government of the United States (2021-); Anishinaabe Tribal Group (United States); Navajo Tribal Group (United States); Hopi Tribal Group (United States); Hawaiian Indigenous Group (United States); Quinault Tribal Group (United States); Lummi Tribal Group (United States); DEM: Democratic Party",6,,,0,60,"North America","United States","District of Columbia","District of Columbia",,"Washington DC",38.9171,-77.0003,1,"Twitter; Indian Country Today","New media-National","On 29 July 2021, a group of people - including US Representative Kaiali'i Kahele (D), Native Organizers Alliance, Daniel Tso, who is a Navajo Nation Council Delegate, members of the Ojibwe tribe, members of the Lummi Nation, the Vice Chairman of the Hopi Tribe, members of the Bears Ears Coalition, Native Hawaiians, Fawn Sharp, who is a member of the Quinault Indian Nation and president of the National Congress of American Indians, and members of the Piscataway Conoy Tribe - gathered in Washington DC (District of Columbia) for a '#RedRoadtoDC' event to demand the US government preserve spaces sacred to Native American tribes and to honor broken treaties with them. [size=no report]",0,1632861453,USA
8418147,840,USA32805,32805,"24 July 2021",2021,1,Protests,"Peaceful protest","Protesters (United States)","African American Group (United States)",6,,,0,60,"North America","United States","District of Columbia","District of Columbia",,"Washington DC",38.9171,-77.0003,1,"Fox45 (Baltimore)",National,"On 24 July 2021, a group of people, organized by the Advisory Neighborhood Commission 8C in Washington DC (District of Columbia) gathered for a '100 Black Men for Peace and Empowerment' rally to demonstrate against gun violence in DC. [size=no report]",0,1628032459,USA
8418012,840,USA32773,32773,"23 July 2021",2021,1,Protests,"Peaceful protest","Protesters (United States)","Migrants (International); We are CASA; Latinx Group (United States); DREAMers Movement (United States)",6,,,0,60,"North America","United States","District of Columbia","District of Columbia",,"Washington DC",38.9171,-77.0003,1,"Twitter; WTOP Radio; Al Dia News","New media-Subnational","On 23 July 2021, people including immigrants with the groups FIRM, We Are Home, CASA, United We Dream, Congressional Action Network marched across the Arlington Memorial Bridge in Washington DC (District of Columbia) to demand the infrastructure package guarantees citizenship for undocumented essential workers and to demand the Senate add a path to citizenship for farmworkers, DACA recipients and Temporary Protected Status holders. [size=no report]",0,1628032459,USA
8399750,840,USA32527,32527,"22 July 2021",2021,1,Protests,"Peaceful protest","Protesters (United States)","Women (United States)",6,,,0,60,"North America","United States","District of Columbia","District of Columbia",,"Washington DC",38.9171,-77.0003,1,"WUSA9; Washington Examiner; ABC7 (Washington D.C.)",Subnational,"On 22 July 2021, more than 100 people organized by the group We are Mothers and Guns Down Friday marched together in Washington DC (District of Columbia) to honor children who have fallen victim to gun violence, to call for change after 6-year-old Nyiah Courtney was shot while riding her scooter on 16 July 2021, to demand people put the guns down and to urge leaders to do more to end the violence. [size=more than 100]",0,1627421266,USA
8392816,840,USA32416,32416,"14 July 2021",2021,1,Protests,"Peaceful protest","Protesters (United States)","SEIU: Service Employees International Union; Labour Group (United States)",6,,,0,60,"North America","United States","District of Columbia","District of Columbia",,"Washington DC",38.9171,-77.0003,1,"SEIU Virginia 512; 32BJ SEIU; Domestic Workers",Other,"On 14 July 2021, members of Service Employees International Union 32BJ, Hand in Hand, and the National Domestic Workers Alliance gathered in Washington DC (District of Columbia) as part of the '#CareCantWait' campaign to demand good union jobs and better working conditions related to child care, medical leave, and health care. [size=no report]",0,1626816448,USA
8393067,840,USA32206,32206,"09 July 2021",2021,1,Riots,"Mob violence","Rioters (United States)",,5,"Civilians (United States)","LGBT (United States)",7,57,"North America","United States","District of Columbia","District of Columbia",,"Washington DC",38.9171,-77.0003,1,"Fox5 (Washington D.C.)",Subnational,"On 9 July 2021, a transgender individual was physically assaulted in Washington DC (District of Columbia) by a group of people after the group questioned the individual's gender identity and attacked them, requiring hospitalization. Police say they are investigating the incident as a hate crime. [size=no report]",0,1626816448,USA
8569625,840,USA32004,32004,"26 June 2021",2021,1,Protests,"Peaceful protest","Protesters (United States)","BVM: Black Voters Matter; African American Group (United States); Unite Here; Labour Group (United States); NAACP: National Association for the Advancement of Colored People; Women (United States); Government of the United States (2021-); DEM: Democratic Party",6,,,0,60,"North America","United States","District of Columbia","District of Columbia",,"Washington DC",38.9171,-77.0003,1,"UNITE HERE Local 355; UNITE HERE; Twitter; Hill","Other-New media","On 26 June 2021, 1500 people, including DC Mayor Muriel Bowser and DC's non-voting delegate in the House, Eleanor Holmes Norton (D), along with members of Black Voters Matter, the NAACP, the National Organization for Women, the Southern Poverty Law Center Action Fund, the union UNITE HERE, and other activist groups marched through Washington DC (District of Columbia) to demonstrate against 'voter suppression' as part of the 'Freedom Ride 2021' for voting rights. Demonstrators also demonstrated in favor of Washington DC statehood. [size=1500]",0,1632861452,USA
